Stock #,VIN,Year,Make,Model,Odometer,Certified,Photo Count,Color,Interior,Price,"AutoTrader.com
SRP","AutoTrader.com
VDP",MMR Wholesale,KBB Lending,Age,timestamp
JF740863P,WDDWJ4KB4JF740863,2018,Mercedes-Benz,C-Class,15869.0,Yes,10,Polar White,Black w/MB-Tex Upholstery,40720.0,324.0,6.0,33400,37317,14,2021-09-02 05:03:52
KM163688T,3VWE57BU3KM163688,2019,Volkswagen,Jetta,32236.0,No,25,Blue,Titan Black w/Cloth Seat Trim,21760.0,110.0,1.0,20500,22724,14,2021-09-02 05:03:52
JF068988P,WDD1J6GB7JF068988,2018,Mercedes-Benz,E-Class,23102.0,No,10,Selenite Gray Metallic,Black w/Leather Upholstery,51660.0,528.0,25.0,45200,46567,14,2021-09-02 05:03:52
JB199290C3,4JGDA5JB0JB199290,2018,Mercedes-Benz,GLE,19129.0,No,25,Polar White,Espresso Brown w/MB-Tex Leatherette Seat Trim,47790.0,188.0,5.0,40200,40876,15,2021-09-02 05:03:52
GF011450T,WDC0G4KB3GF011450,2016,Mercedes-Benz,GLC,64841.0,No,11,Lunar Blue Metallic,Silk Beige/Black w/MB-Tex Upholstery,29620.0,142.0,3.0,24200,25355,16,2021-09-02 05:03:52
KU288031C3,55SWF8EB6KU288031,2019,Mercedes-Benz,C-Class,12081.0,No,6,Polar White,AMG Silk Beige w/MB-Tex Upholstery,41625.0,223.0,13.0,36900,37839,16,2021-09-02 05:03:52
GKA42024T,WP1AF2A28GKA42024,2016,Porsche,Cayenne,33761.0,No,19,Black,Leather,55995.0,2239.0,123.0,43200,42689,16,2021-09-02 05:03:52
HA150079PP,WDDZF4KB9HA150079,2017,Mercedes-Benz,E-Class,42784.0,No,25,Black,Macchiato Beige/Espresso w/MB-Tex Upholstery,33755.0,505.0,15.0,31000,32864,17,2021-09-02 05:03:52
JV110962P,WDC0G4KB3JV110962,2018,Mercedes-Benz,GLC,21691.0,No,14,Polar White,Black w/MB-Tex Upholstery,37585.0,225.0,3.0,35600,36342,17,2021-09-02 05:03:52
M9G70314U,5UX2V1C08M9G70314,2021,BMW,X4,6980.0,No,25,Alpine White,Tacora Red w/Contrast Stitching w/Vernasca Leather Upholstery,59185.0,486.0,13.0,52900,55971,17,2021-09-02 05:03:52
